Do Not Email,TotalVisits,Total Time Spent on Website,Page Views Per Visit,A free copy of Mastering The Interview,Last Notable Activity_Email Opened,Last Notable Activity_Modified,Last Notable Activity_SMS Sent,Lead Profile_Other Leads,Lead Profile_Potential Lead,Lead Profile_Select,Last Activity_Email Opened,Last Activity_Olark Chat Conversation,Last Activity_SMS Sent,City_Other Cities,City_Select,City_Thane & Outskirts,What is your current occupation_Unemployed,What is your current occupation_Working Professional,Tags_Busy,Tags_Closed by Horizzon,Tags_Interested in other courses,Tags_Lost to EINS,Tags_Ringing,Tags_Will revert after reading the email,Tags_switched off,Specialization_Finance Management,Specialization_Human Resource Management,Specialization_Marketing Management,Specialization_Select,Lead Origin_Landing Page Submission,Lead Origin_Lead Add Form,Lead Source_Direct Traffic,Lead Source_Google,Lead Source_Olark Chat,Lead Source_Reference,Lead Source_Welingak Website
0,0.3240175193787972,-0.17280964159933443,0.06644072754612018,0,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0,-0.09102675580801721,1.4659009787845112,0.29946874900224135,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0,0.11649538178538997,-0.7914320250181804,0.7655247919144836,0,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,-0.09102675580801721,-0.4209885328824113,-0.39961531536612216,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
0,-0.7135931685882387,-0.8899736436158726,-1.0986993797344857,0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
